Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.0, epilambda=0.2, epochs=2000, gpu=None, hidRNN=40, horizon=1, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.1, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-1.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f8ac4090e50>
model: Model(
  (GRU1): GRU(10, 40)
  (dropout): Dropout(p=0.0, inplace=False)
  (linear1): Linear(in_features=40, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 6753
begin training
| end of epoch  40 | time:  0.01s | train_loss 797348079931665.12500000 | valid rse 39714071.1243 | valid rae 10386622.7726 | valid corr  -0.8619
| end of epoch  41 | time:  0.01s | train_loss 785491647730908.00000000 | valid rse 39422193.2794 | valid rae 10310176.2630 | valid corr  -0.8616
| end of epoch  42 | time:  0.01s | train_loss 773537163017511.87500000 | valid rse 39130322.6681 | valid rae 10233728.3507 | valid corr  -0.8614
| end of epoch  43 | time:  0.01s | train_loss 762135551946114.87500000 | valid rse 38838452.1823 | valid rae 10157279.7370 | valid corr  -0.8611
| end of epoch  44 | time:  0.01s | train_loss 750638910746472.25000000 | valid rse 38546591.5932 | valid rae 10080831.8247 | valid corr  -0.8609
| end of epoch  45 | time:  0.01s | train_loss 739402099160951.50000000 | valid rse 38254734.9756 | valid rae 10004381.8082 | valid corr  -0.8606
| end of epoch  46 | time:  0.01s | train_loss 728462181166588.25000000 | valid rse 37962878.7014 | valid rae 9927930.3890 | valid corr  -0.8603
| end of epoch  47 | time:  0.01s | train_loss 717643110826105.37500000 | valid rse 37671025.2775 | valid rae 9851477.5671 | valid corr  -0.8601
| end of epoch  48 | time:  0.01s | train_loss 706111203172776.75000000 | valid rse 37379179.8076 | valid rae 9775025.4466 | valid corr  -0.8598
| end of epoch  49 | time:  0.02s | train_loss 694845026736780.37500000 | valid rse 37087348.8250 | valid rae 9698574.7288 | valid corr  -0.8595
| end of epoch  50 | time:  0.02s | train_loss 684497352917962.87500000 | valid rse 36795523.7201 | valid rae 9622122.6082 | valid corr  -0.8592
| end of epoch  51 | time:  0.01s | train_loss 673763593353807.62500000 | valid rse 36503705.9233 | valid rae 9545669.7863 | valid corr  -0.8589
| end of epoch  52 | time:  0.01s | train_loss 662596821549784.12500000 | valid rse 36211894.3115 | valid rae 9469217.6658 | valid corr  -0.8586
| end of epoch  53 | time:  0.02s | train_loss 652331086162602.62500000 | valid rse 35920090.3457 | valid rae 9392764.1425 | valid corr  -0.8583
| end of epoch  54 | time:  0.01s | train_loss 641523532697387.62500000 | valid rse 35628300.8194 | valid rae 9316311.3205 | valid corr  -0.8580
| end of epoch  55 | time:  0.01s | train_loss 630981249138202.50000000 | valid rse 35336519.4302 | valid rae 9239859.9014 | valid corr  -0.8577
| end of epoch  56 | time:  0.01s | train_loss 620096879387534.25000000 | valid rse 35044750.4105 | valid rae 9163407.0795 | valid corr  -0.8574
| end of epoch  57 | time:  0.01s | train_loss 611264231421451.37500000 | valid rse 34752987.3003 | valid rae 9086954.9589 | valid corr  -0.8571
| end of epoch  58 | time:  0.01s | train_loss 600297430113272.37500000 | valid rse 34461253.4685 | valid rae 9010507.0466 | valid corr  -0.8567
| end of epoch  59 | time:  0.01s | train_loss 589743391069525.37500000 | valid rse 34169542.7777 | valid rae 8934061.9397 | valid corr  -0.8564
| end of epoch  60 | time:  0.01s | train_loss 580184098266104.37500000 | valid rse 33877830.8175 | valid rae 8857614.0274 | valid corr  -0.8560
| end of epoch  61 | time:  0.01s | train_loss 570525830327440.12500000 | valid rse 33586128.7660 | valid rae 8781166.1151 | valid corr  -0.8557
| end of epoch  62 | time:  0.01s | train_loss 560729614402142.81250000 | valid rse 33294436.8837 | valid rae 8704716.0986 | valid corr  -0.8553
| end of epoch  63 | time:  0.01s | train_loss 550714227886459.25000000 | valid rse 33002749.7355 | valid rae 8628265.3808 | valid corr  -0.8550
| end of epoch  64 | time:  0.01s | train_loss 540441938697329.75000000 | valid rse 32711070.3259 | valid rae 8551813.9616 | valid corr  -0.8546
| end of epoch  65 | time:  0.01s | train_loss 531325870611569.75000000 | valid rse 32419400.3155 | valid rae 8475360.4384 | valid corr  -0.8542
| end of epoch  66 | time:  0.01s | train_loss 522166280190543.62500000 | valid rse 32127748.7505 | valid rae 8398909.7205 | valid corr  -0.8538
| end of epoch  67 | time:  0.01s | train_loss 512545219394491.75000000 | valid rse 31836110.2241 | valid rae 8322458.3014 | valid corr  -0.8534
| end of epoch  68 | time:  0.01s | train_loss 503467599219674.06250000 | valid rse 31544483.6058 | valid rae 8246006.8822 | valid corr  -0.8530
| end of epoch  69 | time:  0.01s | train_loss 493218932350672.56250000 | valid rse 31252870.7350 | valid rae 8169554.7616 | valid corr  -0.8526
| end of epoch  70 | time:  0.01s | train_loss 485112324745049.12500000 | valid rse 30961284.1620 | valid rae 8093107.5507 | valid corr  -0.8522
| end of epoch  71 | time:  0.01s | train_loss 475824012563433.25000000 | valid rse 30669718.4980 | valid rae 8016660.3397 | valid corr  -0.8517
| end of epoch  72 | time:  0.01s | train_loss 466753693833018.81250000 | valid rse 30378163.4993 | valid rae 7940211.0247 | valid corr  -0.8513
| end of epoch  73 | time:  0.01s | train_loss 457917164489083.25000000 | valid rse 30086627.2980 | valid rae 7863763.8137 | valid corr  -0.8508
| end of epoch  74 | time:  0.01s | train_loss 449270599957921.18750000 | valid rse 29795110.4460 | valid rae 7787315.9014 | valid corr  -0.8504
| end of epoch  75 | time:  0.01s | train_loss 440051627637206.31250000 | valid rse 29503603.9448 | valid rae 7710867.2877 | valid corr  -0.8499
| end of epoch  76 | time:  0.01s | train_loss 431448378646588.68750000 | valid rse 29212117.7717 | valid rae 7634419.3753 | valid corr  -0.8494
| end of epoch  77 | time:  0.01s | train_loss 423225075188804.25000000 | valid rse 28920655.7965 | valid rae 7557973.5671 | valid corr  -0.8489
| end of epoch  78 | time:  0.01s | train_loss 414660480903850.68750000 | valid rse 28629207.2496 | valid rae 7481526.3562 | valid corr  -0.8484
| end of epoch  79 | time:  0.01s | train_loss 406584526638891.62500000 | valid rse 28337785.8333 | valid rae 7405081.2493 | valid corr  -0.8479
| end of epoch  80 | time:  0.01s | train_loss 398300998195245.50000000 | valid rse 28046377.2892 | valid rae 7328634.7397 | valid corr  -0.8474
| end of epoch  81 | time:  0.01s | train_loss 390070361478485.31250000 | valid rse 27754985.4144 | valid rae 7252186.8274 | valid corr  -0.8468
| end of epoch  82 | time:  0.01s | train_loss 381815879739589.18750000 | valid rse 27463605.5980 | valid rae 7175736.8110 | valid corr  -0.8463
| end of epoch  83 | time:  0.01s | train_loss 373976546358067.18750000 | valid rse 27172250.3534 | valid rae 7099287.4959 | valid corr  -0.8457
| end of epoch  84 | time:  0.01s | train_loss 365823648549364.62500000 | valid rse 26880916.9777 | valid rae 7022838.1808 | valid corr  -0.8451
| end of epoch  85 | time:  0.01s | train_loss 358358947667057.75000000 | valid rse 26589600.8791 | valid rae 6946388.1644 | valid corr  -0.8445
| end of epoch  86 | time:  0.01s | train_loss 349880348171741.87500000 | valid rse 26298311.5808 | valid rae 6869940.2521 | valid corr  -0.8439
| end of epoch  87 | time:  0.01s | train_loss 342192102195321.37500000 | valid rse 26007044.5536 | valid rae 6793490.2356 | valid corr  -0.8433
| end of epoch  88 | time:  0.01s | train_loss 334884772096197.18750000 | valid rse 25715798.7242 | valid rae 6717039.5178 | valid corr  -0.8426
| end of epoch  89 | time:  0.02s | train_loss 327004700154508.31250000 | valid rse 25424572.9697 | valid rae 6640588.0986 | valid corr  -0.8419
| end of epoch  90 | time:  0.01s | train_loss 320343293368486.87500000 | valid rse 25133369.8606 | valid rae 6564135.2767 | valid corr  -0.8413
| end of epoch  91 | time:  0.01s | train_loss 312556350634332.93750000 | valid rse 24842194.9300 | valid rae 6487683.8575 | valid corr  -0.8406
| end of epoch  92 | time:  0.02s | train_loss 305502853102402.37500000 | valid rse 24551046.3049 | valid rae 6411230.3342 | valid corr  -0.8398
| end of epoch  93 | time:  0.01s | train_loss 297988887354481.75000000 | valid rse 24259935.6030 | valid rae 6334779.6164 | valid corr  -0.8391
| end of epoch  94 | time:  0.01s | train_loss 290958805347957.56250000 | valid rse 23968858.3152 | valid rae 6258328.8986 | valid corr  -0.8383
| end of epoch  95 | time:  0.01s | train_loss 283900472000997.43750000 | valid rse 23677810.7040 | valid rae 6181878.1808 | valid corr  -0.8375
| end of epoch  96 | time:  0.01s | train_loss 277228908412685.28125000 | valid rse 23386794.8836 | valid rae 6105427.4630 | valid corr  -0.8367
| end of epoch  97 | time:  0.01s | train_loss 270406161975553.90625000 | valid rse 23095811.0369 | valid rae 6028976.7452 | valid corr  -0.8359
| end of epoch  98 | time:  0.01s | train_loss 263813737136492.09375000 | valid rse 22804861.4198 | valid rae 5952524.6247 | valid corr  -0.8351
| end of epoch  99 | time:  0.01s | train_loss 256748531841858.37500000 | valid rse 22513954.6765 | valid rae 5876074.6082 | valid corr  -0.8342
| end of epoch 100 | time:  0.01s | train_loss 250556262742850.37500000 | valid rse 22223090.3726 | valid rae 5799625.6438 | valid corr  -0.8333
| end of epoch 101 | time:  0.01s | train_loss 244120365600798.34375000 | valid rse 21932263.7585 | valid rae 5723176.3288 | valid corr  -0.8323
| end of epoch 102 | time:  0.01s | train_loss 237485460353721.84375000 | valid rse 21641480.7035 | valid rae 5646728.0658 | valid corr  -0.8314
| end of epoch 103 | time:  0.01s | train_loss 231610231423946.90625000 | valid rse 21350736.3737 | valid rae 5570278.7507 | valid corr  -0.8304
| end of epoch 104 | time:  0.01s | train_loss 224904562613847.21875000 | valid rse 21060037.9603 | valid rae 5493829.4356 | valid corr  -0.8294
| end of epoch 105 | time:  0.01s | train_loss 218839448407730.25000000 | valid rse 20769390.7908 | valid rae 5417382.2247 | valid corr  -0.8283
| end of epoch 106 | time:  0.01s | train_loss 212473161550446.00000000 | valid rse 20478803.9421 | valid rae 5340937.8192 | valid corr  -0.8272
| end of epoch 107 | time:  0.01s | train_loss 206866089699161.12500000 | valid rse 20188271.8588 | valid rae 5264494.4658 | valid corr  -0.8261
| end of epoch 108 | time:  0.01s | train_loss 200835669284424.06250000 | valid rse 19897789.8434 | valid rae 5188050.4110 | valid corr  -0.8249
| end of epoch 109 | time:  0.01s | train_loss 195315192722834.00000000 | valid rse 19607359.5210 | valid rae 5111604.6027 | valid corr  -0.8237
| end of epoch 110 | time:  0.01s | train_loss 189636538083282.50000000 | valid rse 19316980.7866 | valid rae 5035155.9890 | valid corr  -0.8224
| end of epoch 111 | time:  0.01s | train_loss 184029331020064.25000000 | valid rse 19026661.5683 | valid rae 4958707.7260 | valid corr  -0.8211
| end of epoch 112 | time:  0.01s | train_loss 178036710294353.53125000 | valid rse 18736404.0045 | valid rae 4882258.7616 | valid corr  -0.8198
| end of epoch 113 | time:  0.01s | train_loss 172787178563174.40625000 | valid rse 18446211.0058 | valid rae 4805809.7973 | valid corr  -0.8184
| end of epoch 114 | time:  0.01s | train_loss 167409092097911.46875000 | valid rse 18156110.9440 | valid rae 4729367.1452 | valid corr  -0.8169
| end of epoch 115 | time:  0.01s | train_loss 161770977177448.28125000 | valid rse 17866103.7360 | valid rae 4652926.9479 | valid corr  -0.8154
| end of epoch 116 | time:  0.01s | train_loss 156825242799672.87500000 | valid rse 17576166.5290 | valid rae 4576487.4521 | valid corr  -0.8139
| end of epoch 117 | time:  0.01s | train_loss 151691412715262.09375000 | valid rse 17286308.2911 | valid rae 4500046.5534 | valid corr  -0.8122
| end of epoch 118 | time:  0.01s | train_loss 146776395307296.25000000 | valid rse 16996542.7550 | valid rae 4423608.4603 | valid corr  -0.8106
| end of epoch 119 | time:  0.01s | train_loss 141540261487987.68750000 | valid rse 16706867.7008 | valid rae 4347171.0685 | valid corr  -0.8088
| end of epoch 120 | time:  0.01s | train_loss 136840497501161.25000000 | valid rse 16417277.1670 | valid rae 4270732.2740 | valid corr  -0.8070
| end of epoch 121 | time:  0.01s | train_loss 132292310068489.48437500 | valid rse 16127777.8953 | valid rae 4194292.0767 | valid corr  -0.8051
| end of epoch 122 | time:  0.01s | train_loss 127384689548644.50000000 | valid rse 15838373.4043 | valid rae 4117848.7233 | valid corr  -0.8031
| end of epoch 123 | time:  0.01s | train_loss 123076169244732.68750000 | valid rse 15549069.7428 | valid rae 4041403.9671 | valid corr  -0.8010
| end of epoch 124 | time:  0.01s | train_loss 118242286950445.51562500 | valid rse 15259895.7789 | valid rae 3964961.6658 | valid corr  -0.7988
| end of epoch 125 | time:  0.01s | train_loss 114280545487469.98437500 | valid rse 14970840.1644 | valid rae 3888520.0658 | valid corr  -0.7966
| end of epoch 126 | time:  0.01s | train_loss 109534300410129.06250000 | valid rse 14681907.4850 | valid rae 3812076.0110 | valid corr  -0.7942
| end of epoch 127 | time:  0.01s | train_loss 105339195080582.64062500 | valid rse 14393106.7793 | valid rae 3735630.5534 | valid corr  -0.7917
| end of epoch 128 | time:  0.01s | train_loss 101227205321856.95312500 | valid rse 14104448.6571 | valid rae 3659185.0959 | valid corr  -0.7891
| end of epoch 129 | time:  0.01s | train_loss 97228129457978.78125000 | valid rse 13815942.0552 | valid rae 3582737.8849 | valid corr  -0.7864
| end of epoch 130 | time:  0.01s | train_loss 93198217319643.96875000 | valid rse 13527594.4937 | valid rae 3506290.3233 | valid corr  -0.7835
| end of epoch 131 | time:  0.01s | train_loss 89276987738005.81250000 | valid rse 13239424.3630 | valid rae 3429842.4110 | valid corr  -0.7805
| end of epoch 132 | time:  0.01s | train_loss 85620035845415.82812500 | valid rse 12951442.1440 | valid rae 3353395.9014 | valid corr  -0.7773
| end of epoch 133 | time:  0.01s | train_loss 81860128019190.51562500 | valid rse 12663657.4042 | valid rae 3276947.9890 | valid corr  -0.7740
| end of epoch 134 | time:  0.01s | train_loss 78110613616139.37500000 | valid rse 12376087.7228 | valid rae 3200501.4795 | valid corr  -0.7705
| end of epoch 135 | time:  0.01s | train_loss 74571204638704.82812500 | valid rse 12088749.4210 | valid rae 3124054.9699 | valid corr  -0.7668
| end of epoch 136 | time:  0.01s | train_loss 71055968771185.78125000 | valid rse 11801656.4078 | valid rae 3047609.1616 | valid corr  -0.7629
| end of epoch 137 | time:  0.01s | train_loss 67641115833746.01562500 | valid rse 11514828.0521 | valid rae 2971164.7562 | valid corr  -0.7587
| end of epoch 138 | time:  0.01s | train_loss 64312649402868.62500000 | valid rse 11228283.0642 | valid rae 2894720.0000 | valid corr  -0.7543
| end of epoch 139 | time:  0.01s | train_loss 61245084339526.16406250 | valid rse 10942044.7815 | valid rae 2818275.2438 | valid corr  -0.7497
| end of epoch 140 | time:  0.01s | train_loss 58090275764572.92187500 | valid rse 10656137.9197 | valid rae 2741829.9616 | valid corr  -0.7447
| end of epoch 141 | time:  0.01s | train_loss 54837693054490.54687500 | valid rse 10370588.7549 | valid rae 2665384.5041 | valid corr  -0.7395
| end of epoch 142 | time:  0.01s | train_loss 51858673911823.17187500 | valid rse 10085425.9196 | valid rae 2588939.3973 | valid corr  -0.7339
| end of epoch 143 | time:  0.01s | train_loss 49275639817587.67187500 | valid rse 9800684.3366 | valid rae 2512494.8164 | valid corr  -0.7279
best validation
test rse 7291612.4392 | test rae 1943848.5041 | test corr -0.7706
| end of epoch 144 | time:  0.01s | train_loss 46389128504084.85937500 | valid rse 9516403.0555 | valid rae 2436050.2356 | valid corr  -0.7215
best validation
test rse 7071150.3956 | test rae 1882821.6110 | test corr -0.7654
| end of epoch 145 | time:  0.01s | train_loss 43678578620400.82812500 | valid rse 9232621.4097 | valid rae 2359606.1808 | valid corr  -0.7147
best validation
test rse 6850919.6178 | test rae 1821795.4192 | test corr -0.7599
| end of epoch 146 | time:  0.01s | train_loss 41017937847424.94531250 | valid rse 8949391.8596 | valid rae 2283162.6521 | valid corr  -0.7074
best validation
test rse 6630946.4760 | test rae 1760770.8055 | test corr -0.7539
| end of epoch 147 | time:  0.01s | train_loss 38580822284454.87500000 | valid rse 8666766.1567 | valid rae 2206721.0521 | valid corr  -0.6996
best validation
test rse 6411257.4891 | test rae 1699747.9452 | test corr -0.7475
| end of epoch 148 | time:  0.01s | train_loss 36161043675120.82812500 | valid rse 8384806.0645 | valid rae 2130280.8548 | valid corr  -0.6912
best validation
test rse 6191881.9524 | test rae 1638727.0137 | test corr -0.7405
| end of epoch 149 | time:  0.01s | train_loss 33716879195917.27343750 | valid rse 8103581.0619 | valid rae 2053841.0082 | valid corr  -0.6821
best validation
test rse 5972851.2028 | test rae 1577706.2575 | test corr -0.7329
| end of epoch 150 | time:  0.01s | train_loss 31471242620533.57031250 | valid rse 7823168.9195 | valid rae 1977402.7397 | valid corr  -0.6724
best validation
test rse 5754207.4244 | test rae 1516687.4301 | test corr -0.7247
| end of epoch 151 | time:  0.01s | train_loss 29222954499367.82031250 | valid rse 7543659.5048 | valid rae 1900964.8219 | valid corr  -0.6618
best validation
test rse 5535993.2793 | test rae 1455907.5068 | test corr -0.7157
| end of epoch 152 | time:  0.01s | train_loss 27245350726800.11718750 | valid rse 7265159.0338 | valid rae 1824530.2356 | valid corr  -0.6504
best validation
test rse 5318267.1844 | test rae 1395901.8082 | test corr -0.7060
| end of epoch 153 | time:  0.01s | train_loss 25200981091092.85937500 | valid rse 6987792.3527 | valid rae 1748100.0329 | valid corr  -0.6380
best validation
test rse 5101094.2281 | test rae 1335900.4055 | test corr -0.6953
| end of epoch 154 | time:  0.01s | train_loss 23115744642723.08203125 | valid rse 6711693.6720 | valid rae 1671670.1808 | valid corr  -0.6246
best validation
test rse 4884536.2963 | test rae 1275899.0027 | test corr -0.6835
| end of epoch 155 | time:  0.01s | train_loss 21342390426009.60156250 | valid rse 6437022.2715 | valid rae 1595243.1342 | valid corr  -0.6100
best validation
test rse 4668683.6996 | test rae 1215900.4932 | test corr -0.6706
| end of epoch 156 | time:  0.01s | train_loss 19601721208680.29687500 | valid rse 6163969.6724 | valid rae 1518818.1918 | valid corr  -0.5940
best validation
test rse 4453635.6922 | test rae 1155903.7370 | test corr -0.6564
| end of epoch 157 | time:  0.01s | train_loss 17926563167285.09765625 | valid rse 5892760.9099 | valid rae 1442399.2986 | valid corr  -0.5766
best validation
test rse 4239521.4787 | test rae 1095912.7671 | test corr -0.6406
| end of epoch 158 | time:  0.01s | train_loss 16304371915282.96289062 | valid rse 5623659.8777 | valid rae 1365981.8959 | valid corr  -0.5575
best validation
test rse 4026479.0703 | test rae 1035923.3753 | test corr -0.6231
| end of epoch 159 | time:  0.01s | train_loss 14901344791332.02929688 | valid rse 5356981.4768 | valid rae 1289571.0685 | valid corr  -0.5366
best validation
test rse 3814694.2149 | test rae 975939.9452 | test corr -0.6037
| end of epoch 160 | time:  0.01s | train_loss 13366399536454.16210938 | valid rse 5093105.1179 | valid rae 1220888.7233 | valid corr  -0.5136
best validation
test rse 3604382.4700 | test rae 915960.6356 | test corr -0.5820
| end of epoch 161 | time:  0.01s | train_loss 12089981486633.71875000 | valid rse 4832483.9010 | valid rae 1154226.5863 | valid corr  -0.4883
best validation
test rse 3395814.2987 | test rae 856561.5342 | test corr -0.5578
| end of epoch 162 | time:  0.01s | train_loss 10864307182948.50390625 | valid rse 4575675.5256 | valid rae 1087568.2192 | valid corr  -0.4605
best validation
test rse 3189337.4348 | test rae 797437.8082 | test corr -0.5308
| end of epoch 163 | time:  0.01s | train_loss 9726575814367.76367188 | valid rse 4323349.4590 | valid rae 1022092.5370 | valid corr  -0.4299
best validation
test rse 2985377.0850 | test rae 738322.4110 | test corr -0.5004
| end of epoch 164 | time:  0.01s | train_loss 8622531604206.93359375 | valid rse 4076335.8082 | valid rae 959122.6740 | valid corr  -0.3961
best validation
test rse 2784480.7528 | test rae 679470.8164 | test corr -0.4664
| end of epoch 165 | time:  0.01s | train_loss 7667388044386.60742188 | valid rse 3835659.5231 | valid rae 899581.7205 | valid corr  -0.3589
best validation
test rse 2587361.5449 | test rae 622800.0000 | test corr -0.4282
| end of epoch 166 | time:  0.01s | train_loss 6767866548011.61523438 | valid rse 3602576.6683 | valid rae 840662.0932 | valid corr  -0.3179
best validation
test rse 2394936.9304 | test rae 569965.8959 | test corr -0.3854
| end of epoch 167 | time:  0.01s | train_loss 5976600845668.50390625 | valid rse 3378645.7618 | valid rae 782804.8658 | valid corr  -0.2728
best validation
test rse 2208429.6485 | test rae 521188.2082 | test corr -0.3376
| end of epoch 168 | time:  0.02s | train_loss 5214568882964.85937500 | valid rse 3165793.9016 | valid rae 726592.8767 | valid corr  -0.2235
best validation
test rse 2029462.7847 | test rae 472982.2247 | test corr -0.2844
| end of epoch 169 | time:  0.01s | train_loss 4527407172934.16308594 | valid rse 2966396.0393 | valid rae 670426.9589 | valid corr  -0.1698
best validation
test rse 1860218.3998 | test rae 428196.7781 | test corr -0.2256
| end of epoch 170 | time:  0.01s | train_loss 4008635148727.94091797 | valid rse 2783263.5496 | valid rae 616121.1616 | valid corr  -0.1118
best validation
test rse 1703548.5840 | test rae 386127.5178 | test corr -0.1613
| end of epoch 171 | time:  0.01s | train_loss 3510684643783.11132812 | valid rse 2619735.3976 | valid rae 570040.6795 | valid corr  -0.0496
best validation
