Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.0, epilambda=0.2, epochs=2000, gpu=None, hidRNN=20, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=1.0, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-128.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=128)
data shape (364, 10)
<utils.Data_utility object at 0x7fe2513ace50>
model: Model(
  (GRU1): GRU(10, 20)
  (dropout): Dropout(p=0.0, inplace=False)
  (linear1): Linear(in_features=20, out_features=10, bias=True)
  (residual): Linear(in_features=8, out_features=1, bias=True)
)
* number of parameters: 2239
begin training
| end of epoch  52 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  53 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  54 | time:  0.09s | train_loss 30531616847847437577424830726144.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  55 | time:  0.13s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  56 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  57 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  58 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  59 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  60 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  61 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  62 | time:  0.12s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  63 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  64 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  65 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  66 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  67 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  68 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  69 | time:  0.11s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  70 | time:  0.12s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  71 | time:  0.12s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  72 | time:  0.13s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  73 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  74 | time:  0.12s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
