Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.5, epilambda=0.2, epochs=2000, gpu=None, hidRNN=10, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.001, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f23c51fae50>
model: Model(
  (GRU1): GRU(10, 10)
  (dropout): Dropout(p=0.5, inplace=False)
  (linear1): Linear(in_features=10, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 873
begin training
| end of epoch  41 | time:  0.01s | train_loss 555746861752773.81250000 | valid rse 35453375.4404 | valid rae 7031334.5753 | valid corr  0.3083
| end of epoch  42 | time:  0.01s | train_loss 552500947276279.81250000 | valid rse 35348517.3535 | valid rae 7009716.2521 | valid corr  0.3086
| end of epoch  43 | time:  0.01s | train_loss 549376404946020.93750000 | valid rse 35246854.1845 | valid rae 6989765.0849 | valid corr  0.3085
| end of epoch  44 | time:  0.01s | train_loss 546094001395260.12500000 | valid rse 35149357.7271 | valid rae 6972127.7370 | valid corr  0.3080
| end of epoch  45 | time:  0.01s | train_loss 542542801449933.06250000 | valid rse 35051069.0634 | valid rae 6953147.2658 | valid corr  0.3079
| end of epoch  46 | time:  0.01s | train_loss 540065609495593.37500000 | valid rse 34964232.5439 | valid rae 6938699.7479 | valid corr  0.3070
| end of epoch  47 | time:  0.01s | train_loss 536319607578185.56250000 | valid rse 34860105.3155 | valid rae 6916595.3753 | valid corr  0.3075
| end of epoch  48 | time:  0.01s | train_loss 533525854353548.37500000 | valid rse 34751928.1728 | valid rae 6894317.7644 | valid corr  0.3077
| end of epoch  49 | time:  0.01s | train_loss 530192604842535.87500000 | valid rse 34638750.0521 | valid rae 6868797.0192 | valid corr  0.3086
| end of epoch  50 | time:  0.01s | train_loss 527386962825796.75000000 | valid rse 34546813.3347 | valid rae 6851534.9041 | valid corr  0.3083
| end of epoch  51 | time:  0.01s | train_loss 524520279846623.56250000 | valid rse 34443531.3946 | valid rae 6829463.4959 | valid corr  0.3088
| end of epoch  52 | time:  0.01s | train_loss 521678084230287.25000000 | valid rse 34343477.6651 | valid rae 6807636.1644 | valid corr  0.3094
| end of epoch  53 | time:  0.01s | train_loss 518868570693732.00000000 | valid rse 34252916.8330 | valid rae 6787968.3507 | valid corr  0.3099
| end of epoch  54 | time:  0.01s | train_loss 516290751486838.50000000 | valid rse 34168557.8596 | valid rae 6769948.0548 | valid corr  0.3103
| end of epoch  55 | time:  0.01s | train_loss 513895700277930.68750000 | valid rse 34097468.2213 | valid rae 6758573.2384 | valid corr  0.3095
| end of epoch  56 | time:  0.01s | train_loss 511733988794606.43750000 | valid rse 34012422.0254 | valid rae 6742748.2301 | valid corr  0.3092
| end of epoch  57 | time:  0.01s | train_loss 508561262173969.56250000 | valid rse 33919951.9276 | valid rae 6723257.1616 | valid corr  0.3095
| end of epoch  58 | time:  0.01s | train_loss 506347317435792.93750000 | valid rse 33839574.3289 | valid rae 6709210.1260 | valid corr  0.3090
| end of epoch  59 | time:  0.01s | train_loss 503503669999525.62500000 | valid rse 33755512.6076 | valid rae 6693476.2959 | valid corr  0.3087
| end of epoch  60 | time:  0.01s | train_loss 500968598823935.06250000 | valid rse 33661405.5467 | valid rae 6672081.0082 | valid corr  0.3095
| end of epoch  61 | time:  0.01s | train_loss 498613472663130.87500000 | valid rse 33586514.1532 | valid rae 6658725.5233 | valid corr  0.3091
| end of epoch  62 | time:  0.01s | train_loss 496030265591159.93750000 | valid rse 33496596.2931 | valid rae 6639632.8329 | valid corr  0.3095
| end of epoch  63 | time:  0.01s | train_loss 493103735368162.68750000 | valid rse 33401546.9795 | valid rae 6620466.4986 | valid corr  0.3096
| end of epoch  64 | time:  0.01s | train_loss 490677970102047.00000000 | valid rse 33302885.4589 | valid rae 6598702.9918 | valid corr  0.3102
| end of epoch  65 | time:  0.01s | train_loss 487637415554798.93750000 | valid rse 33206570.1463 | valid rae 6579545.0740 | valid corr  0.3103
| end of epoch  66 | time:  0.01s | train_loss 485387699586654.68750000 | valid rse 33111599.4726 | valid rae 6561703.6274 | valid corr  0.3100
| end of epoch  67 | time:  0.01s | train_loss 482463524538212.25000000 | valid rse 33007018.0410 | valid rae 6540411.4411 | valid corr  0.3101
| end of epoch  68 | time:  0.01s | train_loss 479754726976539.87500000 | valid rse 32914544.7721 | valid rae 6523089.0082 | valid corr  0.3098
| end of epoch  69 | time:  0.01s | train_loss 476516805575332.87500000 | valid rse 32811933.1748 | valid rae 6499248.0438 | valid corr  0.3109
| end of epoch  70 | time:  0.01s | train_loss 474305183749045.93750000 | valid rse 32712560.9979 | valid rae 6478770.8493 | valid corr  0.3111
| end of epoch  71 | time:  0.01s | train_loss 471447824680096.56250000 | valid rse 32612702.7415 | valid rae 6456172.7123 | valid corr  0.3120
| end of epoch  72 | time:  0.01s | train_loss 468744132685181.68750000 | valid rse 32520949.2334 | valid rae 6437378.8055 | valid corr  0.3122
| end of epoch  73 | time:  0.01s | train_loss 466062056675906.81250000 | valid rse 32434066.4993 | valid rae 6419300.9973 | valid corr  0.3125
| end of epoch  74 | time:  0.01s | train_loss 463713302391466.68750000 | valid rse 32350819.2889 | valid rae 6404390.5753 | valid corr  0.3120
| end of epoch  75 | time:  0.01s | train_loss 461032904040778.75000000 | valid rse 32266639.6237 | valid rae 6388185.4247 | valid corr  0.3118
| end of epoch  76 | time:  0.01s | train_loss 459111710726030.56250000 | valid rse 32192527.1639 | valid rae 6376536.3726 | valid corr  0.3109
| end of epoch  77 | time:  0.01s | train_loss 456462542635192.62500000 | valid rse 32107601.1926 | valid rae 6360374.0055 | valid corr  0.3107
